timestamp,base_salary,annual_bonus,relocation_and_signing,equity_or_stock_per_year,total_comp,total_recurring_comp,job_title,seniority,years_exp,degree,approx_location,coarse_region,fine_region,gender,ethnicity,age_range,age
04/21/17 03:23 PM,115000,8000,7500,59500,190000,182500,Data Scientist,Junior/entry level,0,Doctorate,NULL,NULL,NULL,NULL,NULL,NULL,NULL
04/21/17 03:27 PM,137800,16000,28000,0,181800,153800,Machine Learning Engineer,Middle,1,Doctorate,South Bay,West Coast,Bay Area,NULL,NULL,NULL,NULL
04/21/17 03:28 PM,125000,16000,5000,15000,161000,156000,Data Scientist,Junior/entry level,1,Doctorate,NULL,NULL,NULL,NULL,NULL,NULL,NULL
04/21/17 03:31 PM,125000,15000,0,0,140000,140000,Data Scientist,Senior,1,Doctorate,NULL,NULL,NULL,NULL,NULL,NULL,NULL
04/21/17 03:43 PM,150000,0,10000,50000,210000,200000,Data Scientist,Middle,1,Doctorate,Bay area,West Coast,Bay Area,NULL,NULL,NULL,NULL
04/21/17 03:44 PM,110000,25000,10000,0,145000,135000,Data Scientist,Junior/entry level,1,Doctorate,New York,East Coast,New York,NULL,NULL,NULL,NULL
04/21/17 04:02 PM,110000,0,0,29250,139250,139250,Data Scientist,Middle,1,Doctorate,San Francisco,West Coast,San Francisco,NULL,NULL,NULL,NULL
04/21/17 04:12 PM,140000,14000,30000,25000,209000,179000,Data Scientist,Junior/entry level,1,Doctorate,Facebook,West Coast,Bay Area,NULL,NULL,NULL,NULL
04/21/17 04:12 PM,133000,20000,0,0,153000,153000,Data Scientist,Middle,2,Doctorate,Silicon Valley,West Coast,Bay Area,NULL,NULL,NULL,NULL
04/21/17 04:15 PM,67000,0,0,0,67000,67000,Analyst,Junior/entry level,1,Doctorate,New York,East Coast,New York,NULL,NULL,NULL,NULL
04/21/17 05:00 PM,160000,0,0,10000,170000,170000,Data Scientist,Senior,2,Doctorate,San Francisco,West Coast,San Francisco,NULL,NULL,NULL,NULL
04/21/17 05:24 PM,137000,10000,35000,22500,204500,169500,Data Scientist,Middle,1,Doctorate,Bay Area (Peninsula),West Coast,Bay Area,NULL,NULL,NULL,NULL
04/21/17 06:08 PM,160000,0,15000,87500,262500,247500,Data Scientist,Middle,2,Doctorate,SF,West Coast,San Francisco,NULL,NULL,NULL,NULL
04/22/17 12:58 AM,152000,21000,10000,5000,188000,178000,Data Engineer,Senior,2,Master's Degree,"Palo Alto, CA",West Coast,Bay Area,NULL,NULL,NULL,NULL
04/22/17 07:05 AM,180000,36000,0,37250,253250,253250,Data Scientist,Senior,2,Doctorate,New York,East Coast,New York,NULL,NULL,NULL,NULL
04/22/17 09:17 AM,170000,NULL,NULL,NULL,170000,170000,Machine Learning Engineer,Senior,5,Doctorate,San Francisco,West Coast,San Francisco,NULL,NULL,NULL,NULL
04/22/17 09:48 AM,140000,0,3500,5000,148500,145000,Data Scientist,Middle,2,Doctorate,Northeast,East Coast,Northeast,NULL,NULL,NULL,NULL
04/22/17 10:24 AM,130000,0,2000,32000,164000,162000,Software Engineer,Junior/entry level,1,Doctorate,San Francisco,West Coast,San Francisco,NULL,NULL,NULL,NULL
04/22/17 10:28 AM,185000,0,0,41250,226250,226250,Data Scientist,Senior,3,Doctorate,New York,East Coast,New York,NULL,NULL,NULL,NULL
04/22/17 11:39 AM,160000,0,10000,20000,190000,180000,Data Scientist,Middle,2,Doctorate,SF,West Coast,San Francisco,NULL,NULL,NULL,NULL
04/22/17 12:22 PM,105000,10500,2000,NULL,117500,115500,Data Scientist,Junior/entry level,1,Doctorate,NYC,East Coast,New York,NULL,NULL,NULL,NULL
04/22/17 01:08 PM,80000,2000,0,0,82000,82000,Data Scientist,Junior/entry level,1,Doctorate,CA,West Coast,NULL,NULL,NULL,NULL,NULL
04/22/17 01:44 PM,195000,19500,0,0,214500,214500,Data Scientist,Middle,2,Doctorate,SF,West Coast,San Francisco,NULL,NULL,NULL,NULL
04/22/17 05:14 PM,121000,0,5000,8750,134750,129750,Data Scientist,Middle,2,Doctorate,SF,West Coast,San Francisco,NULL,NULL,NULL,NULL
04/22/17 06:48 PM,152500,NULL,10000,11375,173875,163875,Data Scientist,Junior/entry level,1,Doctorate,San Francisco,West Coast,San Francisco,NULL,NULL,NULL,NULL
04/23/17 02:29 AM,140000,10000,0,25000,175000,175000,Data Scientist,Junior/entry level,1,Doctorate,Bay Area,West Coast,Bay Area,NULL,NULL,NULL,NULL
04/23/17 05:48 AM,80000,NULL,NULL,NULL,80000,80000,Data Scientist,Junior/entry level,1,Doctorate,New York,East Coast,New York,NULL,NULL,NULL,NULL
04/23/17 08:59 AM,105000,0,0,3000,108000,108000,Data Scientist,Middle,1,Master's Degree,Bay Area,West Coast,Bay Area,NULL,NULL,NULL,NULL
04/23/17 09:38 AM,125000,0,10000,0,135000,125000,Software Engineer,Middle,1,ABD + Masters,Boston,Northeast,Boston,NULL,NULL,NULL,NULL
04/23/17 02:59 PM,125000,18750,0,16000,159750,159750,Data Scientist,Junior/entry level,1,Doctorate,Los Angeles,West Coast,Southern California,NULL,NULL,NULL,NULL
04/23/17 07:31 PM,118000,3000,0,10000,131000,131000,Data Scientist,Middle,2,Doctorate,Boston,Northeast,Boston,NULL,NULL,NULL,NULL
04/24/17 01:21 AM,137500,14000,10000,90000,251500,241500,Data Scientist,Senior,4,Doctorate,Bay Area,West Coast,Bay Area,NULL,NULL,NULL,NULL
04/24/17 05:54 AM,160000,NULL,0,NULL,160000,160000,Data Scientist,Senior,3,Doctorate,NYC,East Coast,New York,NULL,NULL,NULL,NULL
04/24/17 08:50 AM,115000,0,35000,18000,168000,133000,Data Scientist,Junior/entry level,1,Doctorate,Seattle,Northwest,Seattle,NULL,NULL,NULL,NULL
04/24/17 10:24 AM,105000,0,0,0,105000,105000,Data Scientist,Senior,0,Doctorate,new york city,East Coast,New York,NULL,NULL,NULL,NULL
04/24/17 11:03 AM,105000,NULL,5000,NULL,110000,105000,Data Scientist,Middle,2,Doctorate,Southwest US,Southwest,Southwest,NULL,NULL,NULL,NULL
04/24/17 12:38 PM,126400,0,10000,0,136400,126400,Data Scientist,Middle,1,Doctorate,Manhattan,East Coast,New York,NULL,NULL,NULL,NULL
04/24/17 12:55 PM,105000,0,0,NULL,105000,105000,Data Scientist,Middle,1,Doctorate,Boston,Northeast,Boston,NULL,NULL,NULL,NULL
04/24/17 04:13 PM,140000,NULL,NULL,30000,170000,170000,Data Scientist,Middle,4,Doctorate,San Francisco,West Coast,San Francisco,NULL,NULL,NULL,NULL
04/24/17 07:15 PM,126000,NULL,,NULL,126000,126000,Analyst,Junior/entry level,1,Doctorate,NULL,NULL,NULL,NULL,NULL,NULL,NULL
04/25/17 06:56 PM,90000,NULL,12000,NULL,102000,90000,Data Scientist,Junior/entry level,1,Doctorate,East Coast,East Coast,NULL,NULL,NULL,NULL,NULL
04/26/17 06:27 AM,100000,0,0,0,100000,100000,Data Engineer,Middle,2,Bachelor's Degree,NYC,East Coast,New York,NULL,NULL,NULL,NULL
04/26/17 01:39 PM,200000,0,7500,5000,212500,205000,Data Scientist,Senior,2,Doctorate,Bay Area,West Coast,Bay Area,NULL,NULL,NULL,NULL
04/26/17 07:40 PM,125000,0,5000,0,130000,125000,Data Scientist,Junior/entry level,1,Doctorate,SOMA,West Coast,San Francisco,NULL,NULL,NULL,NULL
04/26/17 08:32 PM,100000,NULL,15000,NULL,115000,100000,Data Engineer,Junior/entry level,5,Bachelor's Degree,Seattle,Northwest,Seattle,NULL,NULL,NULL,NULL
04/27/17 03:33 PM,120000,20000,0,0,140000,140000,Data Scientist,Junior/entry level,0,Doctorate,Boston,Northeast,Boston,NULL,NULL,NULL,NULL
04/27/17 07:34 PM,125000,10000,0,0,135000,135000,Data Scientist,Junior/entry level,1,Doctorate,East Coast,East Coast,East Coast,NULL,NULL,NULL,NULL
05/01/17 10:07 AM,180000,13000,13000,NULL,206000,193000,Data Scientist,Middle,2,Doctorate,Mountain View,West Coast,Bay Area,NULL,NULL,NULL,NULL
05/01/17 10:29 AM,150000,10000,10000,60000,230000,220000,Data Scientist,Middle,1,Doctorate,Bay Area,West Coast,Bay Area,NULL,NULL,NULL,NULL
05/01/17 10:33 AM,85000,2000,2000,0,89000,87000,Analyst,Senior,0,Doctorate,NYC,East Coast,New York,NULL,NULL,NULL,NULL
05/01/17 10:40 AM,140000,10000,10000,45000,205000,195000,Data Engineer,Junior/entry level,1,Bachelor's Degree,SF Bay Area,West Coast,Bay Area,Male,NULL,NULL,NULL
05/01/17 11:06 AM,160000,15000,15000,80000,270000,255000,Data Engineer,Middle,4,Master's Degree,SF Bay Area,West Coast,Bay Area,Male,White,NULL,NULL
