Date,Black,Blue,Red,White
2013-10-03,-3,-3,2,2
2013-10-03,4,-3,0,1
2013-10-03,3,-3,-1,2
2013-10-03,-2,-2,0,
2013-10-03,2,2,4,
2013-10-03,1,1,-2,
2013-10-03,,1,1,
2013-10-03,,1,,
2013-10-03,,3,,
2013-10-03,,-1,,
2013-10-10,3,-1,3,1
2013-10-10,1,2,-2,1
2013-10-10,2,0,0,-1
2013-10-10,-2,2,-2,-3
2013-10-10,0,3,0,-2
2013-10-10,-1,1,1,3
2013-10-10,-1,-2,-2,
2013-10-10,2,0,0,
2013-10-10,1,-2,1,
2013-10-10,2,1,-2,
2013-10-10,-2,-1,-2,
2013-10-10,,1,0,
2013-10-10,,-2,0,
2013-10-10,,1,0,
2013-10-10,,0,-1,
2013-10-10,,0,1,
2013-10-10,,,-1,
2013-10-10,,,-2,
2013-10-10,,,0,
2013-10-10,,,-1,
2013-10-10,,,0,
2013-10-10,,,-3,
2013-10-10,,,0,
2013-10-10,,,0,
2013-10-10,,,-4,
2013-10-10,,,-2,
2013-10-10,,,-2,
2013-10-10,,,2,
2013-10-10,,,-2,
2013-10-10,,,2,
2013-10-10,,,1,
2013-10-10,,,1,
2013-10-10,,,2,
2013-10-10,,,0,
2013-10-10,,,-1,
2013-10-10,,,2,
2013-10-10,,,-2,
2013-10-10,,,-4,
2013-10-10,,,-1,
2013-10-10,,,1,
2013-10-15,-2,0,1,
2013-10-15,-1,-1,-3,
2013-10-15,2,0,-1,
2013-10-15,-1,-1,-2,
2013-10-15,2,-1,2,
2013-10-15,,-4,1,
2013-10-15,,3,0,
2013-10-15,,-2,-2,
2013-10-15,,-2,0,
2013-10-15,,1,2,
2013-10-15,,0,-1,
2013-10-15,,-1,-1,
2013-10-15,,-2,2,
2013-10-15,,-3,-2,
2013-10-15,,1,1,
2013-10-15,,1,0,
2013-10-15,,0,-2,
2013-10-15,,0,4,
2013-10-15,,1,1,
2013-10-15,,-1,-1,
2013-10-15,,1,-1,
2013-10-15,,-1,-2,
2013-10-15,,-2,-1,
2013-10-15,,-1,0,
2013-10-15,,-3,2,
2013-10-15,,0,-1,
2013-10-15,,-1,0,
2013-10-15,,-1,-4,
2013-10-15,,2,-2,
2013-10-15,,0,-2,
2013-10-15,,-2,2,
2013-10-15,,0,2,
2013-10-15,,-3,0,
2013-10-15,,1,-3,
2013-10-15,,-2,-2,
2013-10-15,,0,-1,
2013-10-15,,4,2,
2013-10-15,,-2,-2,
2013-10-15,,-4,-1,
2013-10-15,,-1,0,
2013-10-15,,4,1,
2013-10-15,,1,-2,
2013-10-15,,2,1,
2013-10-15,,2,-1,
2013-10-15,,-1,,
2013-10-15,,-4,,
2013-10-15,,-3,,
