Timestamp,What new wod is Theo using?,What language?,Date?
9/10/2018 21:29:40,"Dog (""woh woh"", Most gound animals)",Chinese,9/2/2017
1/20/2018 20:47:36,Milk,Sign,9/4/2017
1/20/2018 20:48:05,Cat,Sign,9/20/2017
1/20/2018 20:48:35,Moe,Sign,9/28/2017
9/10/2018 21:31:40,Bye bye,Sign,9/29/2017
10/29/2017 17:31:41,Dop (di joh),Chinese,10/5/2017
9/10/2018 21:25:41,Clapping,Sign,10/5/2017
10/29/2017 17:31:41,Hee (ni doh),Chinese,10/29/2017
1/20/2018 20:52:31,Hot,Sign,12/3/2017
1/20/2018 20:39:13,Bath,Sign,12/8/2017
1/20/2018 20:52:31,Down,Sign,12/15/2017
1/20/2018 20:52:31,Lion,Animal Sound,12/17/2017
1/20/2018 20:52:31,Gandma (poh poh),Chinese,12/17/2017
1/20/2018 20:52:31,Mama,Chinese,12/17/2017
1/20/2018 20:52:31,Dada,English,12/17/2017
12/17/2017 0:00:00,Monkey,Sign,12/17/2017
1/20/2018 20:52:31,Book,Sign,12/17/2017
1/20/2018 20:52:31,Food,Sign,12/17/2017
1/20/2018 20:52:31,Pain,Sign,12/17/2017
1/20/2018 20:52:31,Phone,Sign,12/17/2017
1/20/2018 20:52:31,Whee,Sign,12/17/2017
12/26/2017 0:00:00,Sleep,Sign,12/26/2017
1/20/2018 20:52:31,Dog,Sign,12/28/2017
1/20/2018 20:37:40,abbit,Sign,1/8/2018
1/20/2018 20:38:20,Elephant,Sign,1/8/2018
1/20/2018 20:35:53,Ball,English,1/11/2018
1/20/2018 20:38:51,Hand Washing,Sign,1/11/2018
1/26/2018 20:16:07,Gandma (ama),English,1/13/2018
1/16/2018 0:00:00,Kiss,Sign,1/16/2018
1/20/2018 20:52:31,Little bother (di di),Chinese,1/17/2018
1/20/2018 20:37:08,Goilla,Sign,1/18/2018
1/20/2018 20:52:31,Snake,Sign,1/18/2018
1/20/2018 20:36:42,Dog (gau),Chinese,1/20/2018
1/21/2018 7:45:12,Cookie,Spanish,1/20/2018
1/22/2018 0:00:00,Dance,Sign,1/22/2018
2/22/2018 7:49:58,abbit,Sign,1/24/2018
1/26/2018 19:53:51,Bead (bao),Chinese,1/25/2018
1/29/2018 16:34:38,Dog (gau),Chinese,1/29/2018
1/31/2018 19:55:10,Baboon (baba),English,1/31/2018
2/13/2018 7:48:51,Lie down,Sign,2/1/2018
