Timestamp,What new word is Ash using?,Description,What language?,"Date if different than ""now""?"
10/11/2020 9:13:05,pointing,,Sign,10/11/2020
10/15/2020 17:32:52,pick me up,Arms up,Sign,10/14/2020
12/3/2020 17:17:18,milk,,Sign,
12/3/2020 17:17:26,milk,,Chinese,
12/11/2020 12:14:56,mama,,Chinese,
,,,,
1/7/2021 6:29:07,pointing,"Points with whole hand, finger sometimes",Sign,
1/17/2021 8:53:13,no,Head shake,Sign,
1/23/2021 18:36:05,clapping,,Sign,
1/23/2021 18:40:22,patting mouth,Making wawa sound,Sign,1/3/2021
2/14/2021 16:32:17,milk,Nye nye,Chinese,
3/7/2021 7:32:00,dad,Daddy,English,3/3/2021
3/7/2021 7:32:47,chicken,Gai,Chinese,3/5/2021
3/7/2021 7:34:39,TV,Mat mat moo,Chinese,
3/15/2021 17:53:19,Cow,Boo,Animal Sound,
,,,,
3/24/2021 16:10:02,Yuck,Says bah we think for bleh,English,
3/26/2021 16:05:43,duck,,Animal Sound,
3/26/2021 16:06:21,hulk,Says raaar while playing with Lego hulk,Animal Sound,
3/28/2021 17:34:41,hot,Yeet,Chinese,
4/6/2021 17:17:22,uh oh,When things break,English,
4/6/2021 17:18:58,eat,Ah,sound,
4/11/2021 8:43:56,bread,Bao,Chinese,
4/12/2021 7:15:57,uh oh,,English,
4/24/2021 11:32:39,egg,Dan dan,Chinese,
4/28/2021 8:36:16,here,Ni doh,Chinese,
4/28/2021 8:39:11,that,Dat,English,
5/2/2021 11:51:46,big brother,Gogh gogh,Chinese,
5/3/2021 22:31:21,hot,,Chinese,
5/3/2021 22:31:30,this,,English,
5/4/2021 23:09:59,egg,,Chinese,
5/5/2021 7:45:02,no,,English,
5/6/2021 18:35:04,blowing kiss,,Sign,
5/8/2021 7:56:49,little brother,Dai dai,Chinese,
5/12/2021 18:01:46,diaper,Ee,Chinese,
5/14/2021 23:03:27,ouch,Owie,English,
5/22/2021 18:32:54,no,Um um,English,5/15/2021
5/22/2021 18:33:23,cat,Mau mau,Chinese,
5/22/2021 23:00:17,horse,Neigh,Animal Sound,5/8/2021
5/23/2021 9:12:54,mango,Man gah,Chinese,
5/23/2021 18:49:37,rooster,,Animal Sound,
5/29/2021 12:52:43,mom,Mama,English,
5/30/2021 9:48:54,poop,Boot boot,Chinese,
6/1/2021 12:51:57,grandfather,Go go,Chinese,
6/2/2021 8:26:07,water,Soo soo,Chinese,
6/2/2021 17:01:08,bye bye,,English,
6/6/2021 12:22:47,ball,Ba ba ,English,
6/7/2021 21:03:49,grandmother,Ba ba,Chinese,
6/11/2021 10:11:43,gondola,Gon da (at the Oakland zoo),English,
6/11/2021 18:02:55,google,,English,
6/11/2021 18:03:10,thank you,,English,
6/12/2021 9:21:41,paternal grandmother,Ama,English,
6/15/2021 18:50:11,light,Don don,Chinese,
6/16/2021 14:40:29,hi,,English,
6/17/2021 9:55:28,fish,,Chinese,
6/18/2021 18:13:44,bubble,Bobo,Chinese,
6/19/2021 16:46:39,hi,,English,
6/20/2021 8:43:09,cookie,Gah gah,Spanish,
6/20/2021 18:10:01,bubble,,English,
6/20/2021 22:43:50,lion,Roar,Animal Sound,
6/21/2021 15:14:58,dog,Dou dou (can't make g sound yet),Chinese,
6/22/2021 11:51:38,grandmother,Pau pau,Chinese,
6/24/2021 6:52:37,gummie,Gum,English,6/23/2021
6/24/2021 23:14:38,doorbell,Ding dong,English,
6/24/2021 23:14:54,ball,,English,
6/26/2021 16:53:59,gummie,Gum,English,
6/26/2021 17:18:50,come,,English,
6/27/2021 8:06:18,stop,,English,
6/27/2021 10:25:04,throw,Dum,Chinese,
6/29/2021 9:14:40,dog,Dao dao ,Chinese,
7/1/2021 19:20:29,on,Come on,English,
7/1/2021 19:22:44,come,,English,
7/2/2021 6:49:24,gorilla,,English,
7/2/2021 17:14:18,bike,,Chinese,
7/2/2021 17:48:47,pick me up,,Chinese,
7/4/2021 10:49:45,bubble,,English,
7/5/2021 16:19:06,google,,English,
7/6/2021 9:12:59,read,,Chinese,
7/6/2021 15:28:56,kitty,,English,
7/10/2021 7:14:06,pick me up,Po,Chinese,
7/10/2021 7:14:27,horse,,Animal Sound,
7/10/2021 7:14:36,dog,,Animal Sound,
7/10/2021 7:14:44,horse,,Animal Sound,
7/10/2021 7:14:53,rooster,,Animal Sound,
7/10/2021 7:15:02,cereal,,English,
7/10/2021 7:17:09,popsicle,Cull,English,
7/10/2021 7:20:23,pig,,Animal Sound,
7/10/2021 8:27:43,kitty,,English,
7/10/2021 18:06:54,shoe,,Chinese,
7/10/2021 18:56:25,duck,,Chinese,
7/11/2021 8:48:07,throw,,Chinese,
7/14/2021 11:40:09,press,Um,Chinese,
7/14/2021 15:38:58,melon,Bwai (instead of gwai),Chinese,
7/14/2021 18:34:55,open,Abre,Spanish,
7/14/2021 22:55:46,dun dun,"The name of one of the dinotrux in Chinese, also the name of the chicken",Chinese,
7/14/2021 22:56:06,stop,Google stop,English,
7/15/2021 8:05:52,kitty,,English,
7/15/2021 17:49:12,rabbit,Tou,Chinese,
7/15/2021 20:25:13,more,,Chinese,
7/16/2021 7:39:27,banana,,Chinese,
7/16/2021 7:58:13,bread,Bao,Chinese,
7/16/2021 17:44:07,open,,Chinese,
7/16/2021 17:44:17,hello,,English,
7/16/2021 23:18:45,talk,,Chinese,
7/17/2021 6:50:02,ok,,English,
7/17/2021 16:20:36,hurt,,Chinese,
7/17/2021 22:51:30,butt,,Chinese,
7/17/2021 22:51:43,penis,,Chinese,
7/20/2021 19:16:55,bite,,Chinese,
7/20/2021 23:23:01,poop,,Chinese,
7/21/2021 7:09:40,no,,English,
7/21/2021 18:19:18,wait,,English,
7/22/2021 8:33:52,more,,English,
7/24/2021 6:44:50,pig,,Animal Sound,
7/24/2021 6:44:58,cat,,Animal Sound,
7/26/2021 9:43:24,train,Doo doo,English,7/25/2021
7/27/2021 11:10:27,leg,,Chinese,
7/27/2021 14:57:19,shoe,,English,
7/27/2021 18:44:36,cute,Hands under chin,Sign,
7/28/2021 7:04:48,eyore,,Chinese,
7/28/2021 7:04:58,tail,,Chinese,
7/28/2021 7:40:26,more,,English,
7/28/2021 7:47:06,no,,English,
7/28/2021 7:49:19,cookie,,Spanish,
7/31/2021 8:47:59,I,Nough,Chinese,
7/31/2021 10:37:25,kitty,,English,
7/31/2021 11:08:56,stand,,Chinese,
7/31/2021 16:50:37,help,,Chinese,
8/1/2021 8:02:05,wipe,Mat mat,Chinese,
8/1/2021 17:59:48,no,,English,
8/1/2021 18:51:22,eyore,,English,
8/1/2021 23:12:21,head,,Chinese,
8/1/2021 23:12:29,tail,,Chinese,
8/1/2021 23:13:11,no,,Chinese,
8/3/2021 9:27:15,dad,,Chinese,
8/4/2021 7:25:39,horse,,Animal Sound,
8/4/2021 17:50:55,stop,,Chinese,
8/5/2021 18:15:58,mellon,,Chinese,
8/6/2021 18:41:30,head,,Chinese,
8/6/2021 18:41:39,brush,,Chinese,
8/6/2021 18:41:50,tooth,,Chinese,
8/6/2021 18:42:06,monkey,,Animal Sound,
8/6/2021 18:42:13,tickle,,Chinese,
8/7/2021 10:07:38,bubble,,English,8/6/2021
8/7/2021 11:22:28,shark,Doo Doo from baby shark song,English,
8/7/2021 17:10:05,don't want,,Chinese,
8/9/2021 18:44:23,monkey,,Animal Sound,
8/10/2021 17:22:24,cow,,Chinese,
8/10/2021 17:22:44,cow,,English,
8/12/2021 7:04:43,dinosaur,Dao,English,
8/12/2021 8:00:41,thanks,,English,
8/13/2021 7:38:42,train,Ka choo,English,
8/15/2021 7:18:21,tiger,,Animal Sound,
8/15/2021 7:18:30,monkey,,Animal Sound,
8/15/2021 7:18:38,elephant,,Animal Sound,
8/15/2021 15:14:56,pants,,Chinese,
8/15/2021 17:10:31,turtle,,English,
8/16/2021 7:56:17,car,,English,
8/16/2021 15:17:06,open,,Chinese,
8/17/2021 17:24:04,turtle,,English,
8/17/2021 18:27:38,car,,English,
8/18/2021 11:29:31,gondola,Ganda,English,
8/18/2021 21:34:36,seat,,Chinese,
8/20/2021 8:42:30,owl,,Animal Sound,
8/20/2021 9:42:32,climb,,English,
8/20/2021 9:42:39,eat,,English,
8/20/2021 17:49:13,don't,,English,
8/23/2021 17:53:31,help,,English,
8/23/2021 19:18:15,help,,English,
8/23/2021 22:52:44,help,,Chinese,
8/26/2021 17:45:05,open,,Spanish,
8/26/2021 18:17:07,corn,,English,
8/28/2021 9:11:15,bowl,,English,
8/28/2021 9:11:30,yes,,Chinese,
8/28/2021 9:11:42,more,,English,
8/28/2021 10:38:26,airplane,,Chinese,
8/28/2021 17:05:13,bowl,,English,
8/29/2021 12:16:08,cow,,Chinese,
8/29/2021 12:16:39,cow,,English,
8/30/2021 18:37:10,no,,English,
8/30/2021 18:37:32,pants,,Chinese,
9/4/2021 22:50:26,tickle,,Chinese,
9/7/2021 12:20:12,cake,,English,
